institution;lat;lon
AUEB;37.9940338898775;23.732771540394
Aalborg University;57.01590705;9.9753082435574
Aalto University;60.1860789;24.8281020744067
Aarhus University;56.1670905;10.2026176935929
Aberystwyth University;52.4181960583988;-4.0638425727573
American University in Cairo;30.0200950444477;31.4991564997708
American University of Beirut;33.9000264;35.482383777521
Ariel University;32.1032526549704;35.2078125421703
Australian National University;-35.28121335;149.116778864645
BITS Pilani;28.35866475;75.5882557813468
BITS Pilani-Goa;15.3905132544127;73.8779362765171
BUET;23.7237949959699;90.3922153996855
BUPT;39.9626973003545;116.358457049674
Babeș-Bolyai University;46.7677836;23.5919765542802
Bar-Ilan University;32.0691389925568;34.8430582556269
Bauhaus University Weimar;50.97571335;11.3301091944102
Beihang University;39.9809427;116.340978676549
Ben-Gurion University of the Negev;31.2631254;34.8022385445842
Bielefeld University;52.0376885;8.4932232835795
Bilkent University;39.8742606234104;32.7476176558953
Birkbeck University of London;51.5219430629579;-0.1305399071603
Bocconi University;45.4497194;9.1887086720318
Boğaziçi University;41.08475;29.051
Brandenburg University of Technology;51.7668738845552;14.3270593983896
Brno University of Technology;49.2014916076311;16.6032113025769
Brunel University London;51.5326092;-0.4740498907267
Bundeswehr University Munich;48.0826927067999;11.6323775676104
CISPA Helmholtz Center;49.25934725;7.0511131271582
CMI;12.8283096974062;80.2201080400772
CRIStAL;50.6069112216659;3.1375449037763
CWI;52.355525909143;4.9512999967886
Cardiff University;51.4883511;-3.1774939616318
Carleton University;45.3858581;-75.6950041168868
Chalmers/GU;57.6907665777087;11.9770490218487
Charles University;50.0889154;14.4161372076889
Chinese Academy of Sciences;39.90933665;116.32971461229
Chinese University of Hong Kong;22.419297694053;114.204314423352
Chulalongkorn University;13.7382169589593;100.532533109398
City University of Hong Kong;22.336535;114.174392
City University of London;51.5276441;-0.1035989251818
Concordia University;45.49741;-73.5771
Cyprus University of Technology;34.67507365;33.0432836
Czech Technical University;50.1029026;14.3946353
DAIICT;23.1918299086413;72.6283284864956
DTU;55.7854595583484;12.5203510303031
Dalhousie University;44.6374062647519;-63.5872635152841
De La Salle University;14.5644630520076;120.993605080008
Durham University;54.779749;-1.581512
EPFL;46.5186764062579;6.5670642564848
ETH Zurich;47.3762871641418;8.5475958117697
ETS Montreal;45.49497815;-73.5606740771318
EURECOM;43.6142772316417;7.0712215577044
Ecole Normale Superieure;48.7124728691453;2.1652601541326
Ecole Normale Superieure de Cachan;48.8419351183424;2.3454039157881
Ecole Normale Superieure de Lyon;45.7331947506505;4.8329532899993
Ecole Normale Superieure de Rennes;48.0451896;-1.7457907
Federal University of Rio Grande;-30.03384;-51.21857
Freie Universitaet Berlin;52.4479462;13.2779270719606
Friedrich Schiller University Jena;50.92997;11.58994
Fudan University;31.2973096700981;121.503639255614
Galatasaray University;41.0459923;29.0204624288813
Goethe University Frankfurt;50.1275007988482;8.6678707867001
Goldsmiths University of London;51.47339855;-0.0373554777493
Graz University of Technology;47.05821;15.4601947426462
HEC Montreal;45.5036114;-73.6212922
HKUST;22.3363799375663;114.266452550678
HSE University;55.70229715;37.5317977274793
HUST;30.5129765524995;114.420297055601
Hacettepe University;39.9298787549285;32.8666840877708
Hamburg University of Technology;53.461;9.9692264303802
Hanyang University;37.5571248482712;127.045548672916
Harbin Institute of Technology;45.741589;126.625562634889
Hasso Plattner Institute;52.393714;13.132289
Hebrew University of Jerusalem;31.7918555;35.244723
Heidelberg University;49.4190362652019;8.6708407842746
Heriot-Watt University;55.91029585;-3.3234475145584
Hong Kong Baptist University;22.3874201;114.2082222
Humboldt University of Berlin;52.51858145;13.3928784024504
Hunan University;28.17954925;112.941098467464
IIIT Bangalore;12.84430185;77.6632920758883
IIIT Delhi;28.54632595;77.2732550418079
IIIT Hyderabad;17.4454957;78.3485469754447
IISc Bangalore;13.0222347;77.5671832476811
IIT (BHU) Varanasi;25.2621669421976;82.9892803113501
IIT Bhubaneswar;20.14808125;85.676429806457
IIT Bombay;19.1145814;72.9050020778437
IIT Delhi;28.544794367848;77.1910512842372
IIT Gandhinagar;23.2214555494913;72.6987878015274
IIT Goa;15.4224484642187;73.980018759129
IIT Guwahati;26.1898865928685;91.6932392058187
IIT Hyderabad;17.5949379070476;78.1237589297497
IIT Indore;22.52692755;75.9262065786575
IIT Jodhpur;26.2713865;73.0333348298832
IIT Kanpur;28.6132136595143;77.3576501960542
IIT Kharagpur;22.31442745;87.3103920269174
IIT Madras;12.9914769;80.2336786
IIT Mandi;31.7752903317042;76.9861283421281
IIT Patna;25.5384040904919;84.8540473389692
IIT Roorkee;29.8653088798624;77.8961437088695
IIT Ropar;30.9685248870991;76.4732942691027
IMDEA Networks Institute;40.336812;-3.770478
IMDEA Software Institute;40.406934;-3.835474
IMSc;12.9941521579932;80.2471928014445
IPI PAN;52.2258550601809;20.9498112849083
IPM;35.7999349429513;51.4623983519974
ISI Kolkata;22.6485833703987;88.3770845168627
IST Austria;48.3109736;16.2586310889766
IT University of Copenhagen;55.65965525;12.5910768893446
IUST;35.7420385936946;51.5056470030052
Imperial College London;51.4994284;-0.1797084
Istanbul Technical University;41.10504645;29.0263267657468
Izmir Institute of Technology;38.32247565;26.6378557469236
JKU Linz;48.3362859048521;14.3180175380522
JUST;32.5371344622567;35.8553268665564
Jacobs University Bremen;53.1677233;8.65116567867
KAIST;36.3720822092459;127.360540201728
KAUST;22.3092962473904;39.1049115745297
KMUTNB;13.8192099182444;100.513987390361
KTH Royal Institute of Technology;59.201676;17.62032
KU Leuven;50.8489541962848;4.3561736081634
Karlsruhe Institute of Technology;49.1018534;8.4331201592019
Keio University;35.388459159228;139.426920146446
King Abdulaziz University;22.7889112850033;38.9612384065069
King's College London;51.5112793866759;-0.1157609672384
Korea University;36.7636234349851;127.282090701736
Koç University;41.20315895;29.0728653562347
Kyoto University;35.02704665;135.781437276675
Kyung Hee University;37.59675;127.05189
Kyungpook National University;14.604163;120.994347
LMU Munich;48.1103982829765;11.4592156204676
LUMS;31.4704312133747;74.4102893820453
Lancaster University;54.0140815;-2.7924393
Lebanese American University;33.89283555;35.4774984415219
Leiden University;52.16863385;4.4596630574213
Loughborough University;52.7626882;-1.2396365359627
Lund University;55.7126504;13.2107586594
MBZUAI;24.4326226841849;54.6182256346319
Maastricht University;50.84720265;5.685941396293
Macquarie University;-33.7740328;151.112694391948
Masaryk University;49.2099968;16.599248976309
Masdar Institute;24.4328082770057;54.6179252272407
Massey University;-40.3844693;175.6164996
Max Planck Society;49.2577959197564;7.0457946819863
McGill University;45.50691775;-73.5791162596496
McMaster University;43.2639397;-79.917825190293
Memorial University of Newfoundland;47.585546;-52.736413
Middle East Technical University;39.87549675;32.7855350558467
