,country,institution,name,lat,lon,fuzz-ratio,status
77,Germany,Humboldt University of Berlin,Berlin International University of Applied Sciences,52.515954,13.327995,50.0,WATCH
78,China,Hunan University,Hunan Normal University,28.19096515,112.94508125133855,82.0,OK
79,India,IIIT Bangalore,,,,,WRONG
80,India,IIIT Delhi,,,,,WRONG
81,India,IIIT Hyderabad,,,,,WRONG
82,India,IISc Bangalore,,,,,WRONG
83,India,IIT (BHU) Varanasi,IIT Guest House (GTAC),25.259527,82.984969,30.0,WATCH
84,India,IIT Bhubaneswar,,,,,WRONG
85,India,IIT Bombay,,,,,WRONG
86,India,IIT Delhi,IIT,28.546573,77.195475,50.0,WATCH
87,India,IIT Gandhinagar,Indian Institute of Technology Roorkee,29.866246099999998,77.8958708109136,26.0,WATCH
88,India,IIT Goa,Indian Institute of Technology Goa,15.4236608,73.9806018,34.0,WATCH
89,India,IIT Guwahati,,,,,WRONG
90,India,IIT Hyderabad,Indian Institute of Technology Roorkee,29.866246099999998,77.8958708109136,20.0,WATCH
91,India,IIT Indore,Indian Institute of Technology Roorkee,29.866246099999998,77.8958708109136,29.0,WATCH
92,India,IIT Jodhpur,,,,,WRONG
93,India,IIT Kanpur,,,,,WRONG
94,India,IIT Kharagpur,,,,,WRONG
95,India,IIT Madras,,,,,WRONG
96,India,IIT Mandi,IIT Mandi Annexe,31.704648849999998,76.9364994752277,72.0,WATCH
97,India,IIT Patna,Chanakya National Law University,25.59465255,85.13354204616635,24.0,WATCH
98,India,IIT Roorkee,Indian Institute of Technology Roorkee,29.866246099999998,77.8958708109136,45.0,WATCH
99,India,IIT Ropar,Indian Institute of Technology Ropar,30.975198,76.53718,40.0,WATCH
100,Spain,IMDEA Networks Institute,IMDEA Software,40.406934,-3.835474,53.0,WATCH
101,Spain,IMDEA Software Institute,IMDEA Software,40.406934,-3.835474,74.0,WATCH
102,India,IMSc,UNIVERSITY,27.175634,75.959957,29.0,WATCH
103,Poland,IPI PAN,"Institute of Computer Science, Polish Academy of Sciences",52.225836799999996,20.949640444539455,12.0,WATCH
104,"Iran, Islamic Republic of",IPM,,,,,WRONG
105,India,ISI Kolkata,,,,,WRONG
106,Austria,IST Austria,Uni Credit - Bank Austria,48.158218,14.020494,44.0,WATCH
107,Denmark,IT University of Copenhagen,University of Copenhagen,55.6801502,12.57232700140625,94.0,OK
108,"Iran, Islamic Republic of",IUST,Islamic University Of Science & Technology (IUST),33.925893,75.018904,15.0,WATCH
109,United Kingdom,Imperial College London,,,,,WRONG
110,Turkey,Istanbul Technical University,Middle East Technical University,39.88997,32.78034,75.0,WATCH
111,Turkey,Izmir Institute of Technology,İzmir Institute of Technology,38.32247565,26.637855746923606,97.0,OK
112,Austria,JKU Linz,,,,,WRONG
113,Jordan,JUST,W.I.S.E University,32.011787,35.935104,9.0,WATCH
114,Germany,Jacobs University Bremen,,,,,WRONG
115,"Korea, Republic of",KAIST,Korea Areospace University,37.600699,126.866074,13.0,WATCH
116,Saudi Arabia,KAUST,King Abdullah University of Science and Technology,22.32237535,39.11736714154655,18.0,WATCH
117,Thailand,KMUTNB,"Faculty of Medicine Vajira Hospital, Navamindradhiraj University",13.781108249999999,100.50801339463513,6.0,WATCH
118,Sweden,KTH Royal Institute of Technology,KTH - Royal Institute of Technology (Södertälje),59.201676,17.62032,81.0,OK
119,Belgium,KU Leuven,,,,,WRONG
120,Germany,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,49.101853399999996,8.433120159201868,100.0,OK
121,Japan,Keio University,Keio University,35.38814,139.42745,100.0,OK
122,Saudi Arabia,King Abdulaziz University,King Abdulaziz University,21.496441,39.24895,100.0,OK
123,United Kingdom,King's College London,,,,,WRONG
124,"Korea, Republic of",Korea University,Korea Areospace University,37.600699,126.866074,76.0,WATCH
125,Turkey,Koç University,Medipol University,41.022789,28.953811,75.0,WATCH
126,Japan,Kyoto University,Kyoto Sangyo University,35.068457,135.757656,82.0,OK
127,"Korea, Republic of",Kyung Hee University,Kyung Hee University,37.59675,127.05189,100.0,OK
128,"Korea, Republic of",Kyungpook National University,,,,,WRONG
129,Germany,LMU Munich,,,,,WRONG
130,Pakistan,LUMS,Lahore University of Management Sciences,31.470326,74.40979226182131,18.0,WATCH
131,United Kingdom,Lancaster University,Lancaster University Crown Green Bowls Club,54.013977600000004,-2.7919979937566635,63.0,WATCH
132,Lebanon,Lebanese American University,Lebanese American University,33.89283555,35.4774984415219,100.0,OK
133,Netherlands,Leiden University,Leiden University,52.168633850000006,4.45966305742133,100.0,OK
134,United Kingdom,Loughborough University,Mechanical Engineering,52.7620696,-1.2407264,27.0,WATCH
135,Sweden,Lund University,Faculty of Engineering at Lund University,55.7126504,13.210758659399971,54.0,WATCH
136,United Arab Emirates,MBZUAI,Eton University,25.104599,55.164514,10.0,WATCH
137,Netherlands,Maastricht University,University College Maastricht,50.8444528,5.6884711,40.0,WATCH
138,Australia,Macquarie University,"Macquarie University Campus, University Ave, Stand D",-33.7771022,151.1117496,56.0,WATCH
139,Czech Republic,Masaryk University,Rector's Office of Masaryk University,49.198657,16.605627182184513,65.0,WATCH
140,United Arab Emirates,Masdar Institute,,,,,WRONG
141,New Zealand,Massey University,Sushi Lounge,-36.7322167,174.70106,14.0,WATCH
142,Germany,Max Planck Society,,,,,WRONG
143,Canada,McGill University,Hillside at McGill,50.668816,-120.3696882,34.0,WATCH
144,Canada,McMaster University,McMaster University,43.6687021,-79.3950215,100.0,OK
145,Canada,Memorial University of Newfoundland,Memorial University of Newfoundland and Labrador,47.5733341,-52.733306586080026,84.0,OK
146,Turkey,Middle East Technical University,Middle East Technical University,39.88997,32.78034,100.0,OK
147,United Kingdom,Middlesex University,Middlesex University,51.588798,-0.229632,100.0,OK
148,Australia,Monash University,Monash University House,-37.913858,145.130681,85.0,OK
149,Sweden,Mälardalen University,Mälardalens Högskola,59.6176801,16.542068739683224,59.0,WATCH
150,Norway,NTNU,Norwegian University og Science and Technology,63.4229196,10.435483823666626,8.0,WATCH
151,Greece,NTUA,National and Kapodistrian University of Athens - Campus,37.97003795,23.76523669720041,10.0,WATCH
152,China,NWPU,Guilin University of Electronic Technology,25.28576,110.33327,4.0,WATCH
153,China,NYU Shanghai,,,,,WRONG
154,China,Nanjing University,Nanjing University of Posts and Telecommunications (Xianlin Campus),32.11527165,118.92595660043565,42.0,WATCH
155,Singapore,Nanyang Technological University,,,,,WRONG
156,"Taiwan, Province of China",National Cheng Kung University,,,,,WRONG
157,"Taiwan, Province of China",National Chiao Tung University,,,,,WRONG
158,India,National Institute of Technology Silchar,,,,,WRONG
159,"Taiwan, Province of China",National Taiwan University,National University,14.604163,120.994347,84.0,OK
160,"Taiwan, Province of China",National Tsing Hua University,,,,,WRONG
161,Singapore,National University of Singapore,,,,,WRONG
162,United Kingdom,Newcastle University,Newcastle University Business School,54.974166,-1.622548,71.0,WATCH
163,Canada,Ontario Tech University,Ontario Tech University,43.94833105,-78.89816678087453,100.0,OK
164,United Kingdom,Open University UK,Open University Regional Office,52.968563,-1.154682,65.0,WATCH
165,Japan,Osaka University,Osaka University International House,34.8052127,135.4572118459385,62.0,WATCH
166,"Korea, Republic of",POSTECH,Korea Areospace University,37.600699,126.866074,0.0,WATCH
167,Brazil,PUC-RIO,Pontificia Universidade Católica do Rio de Janeiro,-22.97964355,-43.23315196475536,14.0,WATCH
168,Brazil,PUC-RS,Pontifical Catholic University of Rio Grande do Sul,-30.05516275,-51.17350846885846,14.0,WATCH
169,Germany,Paderborn University,University of Paderborn,51.70752095,8.772403972858978,47.0,WATCH
170,China,Peking University,Minzu University of China,39.9496858,116.31484427275208,62.0,WATCH
171,Italy,Politecnico di Milano,"Politecnico di Milano, Sede Milano Leonardo",45.479028799999995,9.23221040387672,66.0,WATCH
172,Spain,Polytechnic University of Catalonia,,,,,WRONG
173,Canada,Polytechnique Montreal,,,,,WRONG
174,Qatar,Qatar Computing Research Institute,,,,,WRONG
175,Qatar,Qatar University,Qatar University,25.3719714,51.48795786318291,100.0,OK
176,United Kingdom,Queen Mary University of London,Queen Mary / University of London,51.5231542,-0.0392049,97.0,OK
177,United Kingdom,Queen's University Belfast,"Catholic Chaplaincy, Queen's University Belfast",54.5845172,-5.9396149,71.0,WATCH
178,Australia,Queensland University of Technology,Queensland University of Technology,-27.4561036,153.01387368150728,100.0,OK
179,Canada,Queen’s University,Queen's University,44.22634715,-76.49573928588319,94.0,OK
180,Australia,RMIT University,Building 51 RMIT,-37.8070847,144.9645028,26.0,WATCH
181,Germany,RWTH Aachen,RWTH Aachen University,50.7791645,6.068920971222876,67.0,WATCH
182,Netherlands,Radboud University,Radboud University,51.82151725,5.863403442541042,100.0,OK
183,China,Renmin University of China,Peking University,39.99171495,116.30393496863539,65.0,WATCH
184,United Kingdom,Royal Holloway University of London,,,,,WRONG
185,Canada,Royal Military College of Canada,,,,,WRONG
186,Germany,Ruhr-University Bochum,,,,,WRONG
187,Canada,Ryerson University,Ryerson University/Mount Pleasant Cemetery Bicycle Rack Design Competition 2010,43.6961115,-79.3829334,37.0,WATCH
188,China,SUFE,Guilin University of Electronic Technology,25.28576,110.33327,9.0,WATCH
189,China,SUSTech,Southern University of Science and Technology,22.6036861,113.99675392137283,27.0,WATCH
190,Singapore,SUTD,,,,,WRONG
191,Germany,Saarland University,University of Music,49.23097275,6.99986056109252,53.0,WATCH
192,Turkey,Sabancı University,Sabancı Üniversitesi,40.8927159,29.378633226358197,84.0,OK
193,Italy,Sapienza University of Rome,Sapienza University of Rome,41.90386,12.51489,100.0,OK
194,Italy,Scuola Superiore Sant'Anna,,,,,WRONG
195,"Korea, Republic of",Seoul National University,,,,,WRONG
196,China,Shandong University,Taishan University,36.2241446,117.03080129478936,76.0,WATCH
197,China,Shanghai Jiao Tong University,,,,,WRONG
198,China,ShanghaiTech University,ShanghaiTech University,31.179430500000002,121.59023445501072,100.0,OK
199,"Iran, Islamic Republic of",Sharif University of Technology,Muhammad Nawaz Sharif University Of Engineering & Technology,30.164673,71.495645,66.0,WATCH
200,China,Shenzhen University,"Shenzhen Institutes of Advanced Technology, China Academy of Sciences",22.598056049999997,113.98533784139858,32.0,WATCH
201,Canada,Simon Fraser University,Simon Fraser University,49.282403,-123.108551,100.0,OK
202,Norway,Simula UiB,Simula Research Laboratory,59.894979,10.629009,39.0,WATCH
203,Singapore,Singapore Management University,,,,,WRONG
204,China,Soochow University,,,,,WRONG
205,India,South Asian University,South Asian University,28.58652,77.19145,100.0,OK
206,South Africa,Stellenbosch University,Stellenbosch University Library,-33.933245,18.863975,85.0,OK
207,China,Sun Yat-sen University,Sun Yat-sen University (South Campus),23.09960335,113.29235087324346,75.0,WATCH
208,Turkey,TOBB ETÜ,Middle East Technical University,39.875496749999996,32.78553505584672,15.0,WATCH
209,Germany,TU Berlin,,,,,WRONG
210,Germany,TU Braunschweig,TU Braunschweig,52.2761359,10.541092331756165,100.0,OK
211,Germany,TU Chemnitz,,,,,WRONG
212,Germany,TU Clausthal,Uni-Sporthalle,51.805818,10.353333,38.0,WATCH
213,Greece,TU Crete,Materials Science and Technology Department - University of Crete,35.308131,25.082932,22.0,WATCH
214,Germany,TU Darmstadt,,,,,WRONG
215,Netherlands,TU Delft,Spar University,52.0004079,4.3766019,26.0,WATCH
216,Germany,TU Dortmund,UNI Falafel,51.481351,7.410032,18.0,WATCH
217,Germany,TU Dresden,,,,,WRONG
218,Netherlands,TU Eindhoven,,,,,WRONG
219,Germany,TU Freiberg,TU Bergakademie Freiberg,50.9248208,13.331843035967744,63.0,WATCH
220,Germany,TU Ilmenau,Dr. med. univ. Petra Ligwe,50.6845916,10.921105,28.0,WATCH
221,Germany,TU Kaiserslautern,Uni-Sporthalle,49.425993,7.751379,19.0,WATCH
222,Germany,TU Munich,Uni Schreibbedarf,48.148509,11.577091,38.0,WATCH
223,Austria,TU Wien,TU Wien,48.195189,16.369603,100.0,OK
224,Finland,Tampere University,Tampere University - Hervanta Campus,61.449642049999994,23.858774618909564,67.0,WATCH
225,India,Tata Inst. of Fundamental Research,,,,,WRONG
226,Israel,Technion,University of Haifa,32.7609456,35.02043482821519,22.0,WATCH
227,Israel,Tel Aviv University,Tel Aviv University,32.1037064,34.8046101,100.0,OK
228,Qatar,Texas A&M at Qatar,University,31.773074,-106.5011185,21.0,WATCH
229,"Korea, Republic of",The Catholic University of Korea,The Catholic University of Korea,37.48601,126.80154,100.0,OK
230,Hong Kong,The Hong Kong Polytechnic University,The Hong Kong Polytechnic University,22.308737,114.181204,100.0,OK
231,Netherlands,Tilburg University,Fontys University of Applied Sciences,51.538708099999994,5.078617847688374,40.0,WATCH
232,Japan,Tokyo Institute of Technology,Tokyo Institute of Technology,35.60574,139.68339,100.0,OK
233,China,Tongji University,Tongji University,31.28473925,121.49694908588742,100.0,OK
234,Ireland,Trinity College Dublin,,,,,WRONG
235,China,Tsinghua University,Tsinghua University,40.002290450000004,116.3209629696906,100.0,OK
236,China,UESTC,"University of Science and Technology of China, East Campus",31.839071949999997,117.26420747857581,10.0,WATCH
237,Brazil,UFF,UFF,60.166146,24.934253,100.0,OK
238,Brazil,UFMG,University Theatre,-19.86257825,-43.95980779508396,9.0,WATCH
239,Brazil,UFMS,UFMS,-20.5045696,-54.61354799879836,100.0,OK
240,Brazil,UFPE,CCS UFPE,-8.050129,-34.947429,67.0,WATCH
241,Brazil,UFPR,Universidade Federal do Paraná Campus Centro Politécnico,-25.451080949999998,-49.233448941214284,10.0,WATCH
242,Brazil,UFRGS,UFRGS Campus Centro,-30.03331505,-51.21994396572513,42.0,WATCH
243,Brazil,UFRJ,Universidade Federal do Rio de Janeiro,-22.8533498,-43.233170287422354,19.0,WATCH
244,Brazil,UFU,Federal University of Uberlândia,-18.918225200000002,-48.2574214284956,11.0,WATCH
245,Brazil,UNICAMP,Universidade Estadual de Campinas,-22.822723699999997,-47.06420061880971,10.0,WATCH
246,"Korea, Republic of",UNIST,Korea Areospace University,37.600699,126.866074,6.0,WATCH
247,Australia,UNSW,University of New South Wales,-33.9170154,151.22518231269635,24.0,WATCH
248,Brazil,USP,USP Ribeirão Preto,-21.159957,-47.865917,29.0,WATCH
249,Brazil,USP-ICMC,,,,,WRONG
250,China,USTC,"University of Science and Technology of China, East Campus",31.839071949999997,117.26420747857581,13.0,WATCH
251,Argentina,Universidad Nacional de Córdoba,Universidad Nacional de Córdoba,-31.436602,-64.188074,100.0,OK
252,Spain,Universidad Rey Juan Carlos,Universidad Rey Juan Carlos,40.334857,-3.872173,100.0,OK
253,Chile,Universidad de Chile,Universidad de Chile (Facultad de Ciencias Físicas y Matemáticas),-33.45787505,-70.66452643711912,47.0,WATCH
254,Spain,Universidad de Zaragoza,,,,,WRONG
255,Colombia,Universidad de los Andes,Universidad de los Andes,4.694193,-74.033362,100.0,OK
256,Brazil,Universidade Federal de Viçosa,Universidade Federal de Viçosa,-20.76763505,-42.858785454528096,100.0,OK
257,Portugal,Universidade NOVA de Lisboa,,,,,WRONG
258,Brazil,Universidade de Brasília,Universidade de Brasília - Campus Universitário Darcy Ribeiro - Gleba A,-15.75799565,-47.871353931704704,51.0,WATCH
259,Portugal,Universidade de Lisboa,Universidade Autónoma de Lisboa Luís de Camões,38.724267,-9.145577,65.0,WATCH
260,Ireland,University College Dublin,University College Dublin (Belfield Campus),53.309323,-6.235949,74.0,WATCH
261,United Kingdom,University College London,,,,,WRONG
262,Spain,University of A Coruña,Higher Technical University College of Maritime and Naval Machines - UDC,43.3706459,-8.42022351645989,34.0,WATCH
263,United Kingdom,University of Aberdeen,University of Aberdeen - Foresterhill Campus,57.1564908,-2.1352831446132967,67.0,WATCH
264,Australia,University of Adelaide,Carnegie Mellon University,-34.928125300000005,138.6011843985031,42.0,WATCH
265,Canada,University of Alberta,University of Alberta,53.52682,-113.5244937350756,100.0,OK
266,Netherlands,University of Amsterdam,University of Amsterdam,52.36813335,4.889804155733945,100.0,OK
267,Greece,University of Athens,National and Kapodistrian University of Athens - Campus,37.97003795,23.76523669720041,53.0,WATCH
268,New Zealand,University of Auckland,Waipapa Taumata Rau / University of Auckland,-36.8660955,174.77373309361866,67.0,WATCH
269,Germany,University of Augsburg,Augsburg University of Applied Sciences,48.3554077,10.904335664079808,52.0,WATCH
270,Germany,University of Bamberg,,,,,WRONG
271,United Kingdom,University of Bath,,,,,WRONG
272,Germany,University of Bayreuth,University of Bayreuth,49.9270796,11.587226615128671,100.0,OK
273,Norway,University of Bergen,Western Norway University of Applied Sciences,60.36887575,5.351111541486731,52.0,WATCH
274,Switzerland,University of Bern,University of Bern,46.95097255,7.438684130809055,100.0,OK
275,United Kingdom,University of Birmingham,University of Birmingham Edgbaston Campus,52.450443250000006,-1.9319613405224376,74.0,WATCH
276,Germany,University of Bonn,Rectorate of the University of Bonn,50.7279172,7.0964633,68.0,WATCH
277,Germany,University of Bremen,University of Bremen,53.107964550000005,8.855664592828369,100.0,OK
278,United Kingdom,University of Bristol,"University of the West of England, Frenchay Campus",51.50076785,-2.5503106339491204,51.0,WATCH
279,Canada,University of British Columbia,University of British Columbia Botanical Garden,49.253822799999995,-123.24732125763657,78.0,WATCH
280,Argentina,University of Buenos Aires,National University of Comahue,-38.9394882,-68.05033651504556,57.0,WATCH
281,Canada,University of Calgary,University of Calgary,51.0767322,-114.1273884,100.0,OK
282,United Kingdom,University of Cambridge,,,,,WRONG
283,New Zealand,University of Canterbury,University of Canterbury,-43.5240781,172.5803074154386,100.0,OK
284,South Africa,University of Cape Town,University of the Western Cape,-33.93273025,18.62864004583909,68.0,WATCH
285,China,University of Chinese Academy of Sciences,,,,,WRONG
286,Denmark,University of Copenhagen,IT University,55.65965525,12.591076889344563,54.0,WATCH
287,Greece,University of Crete,Hellenic Mediterranean University,35.317545300000006,25.102718775009066,38.0,WATCH
288,Germany,University of Duisburg-Essen,,,,,WRONG
289,United Kingdom,University of Dundee,Abertay University,56.4631526,-2.97467889452203,53.0,WATCH
290,Germany,University of Düsseldorf,Düsseldorf University of Applied Science,51.24812155,6.79124852501046,50.0,WATCH
291,United Kingdom,University of Edinburgh,"EDINA, University of Edinburgh",55.9465468,-3.2007316,87.0,OK
292,Germany,University of Erlangen–Nuremberg,,,,,WRONG
293,United Kingdom,University of Essex,Rowhedge Medical Practice,51.877230749999995,0.9446695987140676,9.0,WATCH
294,United Kingdom,University of Exeter,University of Exeter Department of Drama,50.730127949999996,-3.538254862601872,67.0,WATCH
295,Germany,University of Freiburg,Brand University of Applied Sciences,53.545886,9.930517,55.0,WATCH
296,United Kingdom,University of Glasgow,University of Glasgow Library,55.873419049999995,-4.289052856658881,84.0,OK
297,Netherlands,University of Groningen,University of Groningen,53.21944155,6.562986329174857,100.0,OK
298,Canada,University of Guelph,University of Guelph,43.535193,-80.22009972637464,100.0,OK
299,Germany,University of Göttingen,,,,,WRONG
300,Israel,University of Haifa,University of Haifa,32.7609456,35.02043482821519,100.0,OK
301,Germany,University of Halle-Wittenberg,,,,,WRONG
302,Germany,University of Hamburg,,,,,WRONG
303,Germany,University of Hannover,University of Veterinary Medicine Hanover,52.3685695,9.765730655885474,67.0,WATCH
304,Finland,University of Helsinki,University of Helsinki,60.171039300000004,24.949155335163038,100.0,OK
305,Germany,University of Hildesheim,,,,,WRONG
306,Hong Kong,University of Hong Kong,City University of Hong Kong,22.336535,114.174392,90.0,OK
307,Austria,University of Innsbruck,University of Innsbruck-Campus Innrain,47.26331595,11.384473309954492,75.0,WATCH
308,Greece,University of Ioannina,University of Ioannina,39.615659050000005,20.83952573354071,100.0,OK
309,Jordan,University of Jordan,University of Jordan,32.013409249999995,35.87338209486857,100.0,OK
310,Germany,University of Kassel,International YMCA University of Applied Scienes,51.303706250000005,9.414465124062877,44.0,WATCH
311,United Kingdom,University of Kent,Canterbury Christ Church University,51.27918085,1.090230903404285,38.0,WATCH
312,Germany,University of Kiel,Fachhochschule Kiel,54.33241785,10.17980141316826,32.0,WATCH
313,Austria,University of Klagenfurt,University of Klagenfurt,46.616402550000004,14.264680917308162,100.0,OK
314,Germany,University of Koblenz-Landau,"Koblenz, Uni/Winninger Straße",50.361079,7.559386,28.0,WATCH
315,Germany,University of Konstanz,,,,,WRONG
316,Italy,University of L'Aquila,University of Illinois at Chicago,41.870832,-87.64993,58.0,WATCH
317,United Kingdom,University of Leeds,"University of Leeds, Sports Park Weetwood",53.83755925,-1.587391740217544,63.0,WATCH
318,Germany,University of Leipzig,Leipzig University of Applied Sciences,51.3131269,12.373565233025795,54.0,WATCH
319,United Kingdom,University of Liverpool,University of Liverpool International College,53.40592515,-2.960340832365371,68.0,WATCH
320,Luxembourg,University of Luxembourg,University of Luxembourg - SnT,49.632356,6.169019,89.0,OK
321,Germany,University of Lübeck,,,,,WRONG
322,Germany,University of Magdeburg,,,,,WRONG
323,Germany,University of Mainz,Berlin International University of Applied Sciences,52.515954,13.327995,46.0,WATCH
324,Malaysia,University of Malaya,University of Malaya,3.1255683000000003,101.65582254721087,100.0,OK
325,Malta,University of Malta,University of Malta,35.90210545,14.483405808380784,100.0,OK
326,United Kingdom,University of Manchester,University of Manchester - Oxford Road Campus,53.4657087,-2.232734319907597,70.0,WATCH
327,Canada,University of Manitoba,University of Manitoba,49.8091536,-97.13304179007197,100.0,OK
328,Germany,University of Mannheim,Baden-Wuerttemberg Cooperative State University Mannheim,49.47411555,8.534834379338445,49.0,WATCH
329,Germany,University of Marburg,,,,,WRONG
